NUM;ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DATE;DAT
E_HOUR;EVENT_VALIDITY;CAUSE_CODE;FOCAL_DEPTH;PRIMARY_MAGNITUDE;COUNTRY;STATE;LOCATION_NAME;LATITUDE;LONGITUDE;REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV;WARNING_STATUS;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;HOUSES_DAMAGED;HOUSES_DAMAGED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION;TOTAL_HOUSES_DAMAGED;TOTAL_HOUSES_DAMAGED_DESCRIPTION
59;T72;746;1;18;;;;746/1/18;;2;1;;4,9;SYRIA;;SYRIAN and EGYPTIAN COASTS;32;35,5;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
5457;T73;765;7;;;;;;;-1;6;;;JAPAN;;KYUSHU ISLAND;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;T74;766;7;20;;;;766/7/20;;4;6;;6,5;JAPAN;;N. KAGOSHIMA BAY;31,6;130,7;85;;;1,5;1,5;;;3;;;;;;;;;;;;3;;;;;;;;;;
62;T75;792;4;30;;;;792/4/30;;1;1;;;ITALY;;GULF OF VENICE;45,5;11;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
63;T76;799;9;18;;;;799/9/18;;2;0;;;JAPAN;;KASHIMA, JAPAN;;;85;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
3428;T77;800;;;;;;;;1;1;;;GREECE;;IONIAN SEA;36,2;23,2;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;T78;803;12;19;;;;803/12/19;;2;1;;;TURKEY;;GULF OF ISKENDERUN;36,95;35,6;50;;;;3;;;;;;;;;;;;;;;;;;;;;1;;;;
66;T79;818;8;;;;;;;4;3;;7,9;JAPAN;;TOKAIDO;35,2;139,3;85;;;2;1;;;3;;;;;;;;;;;;3;;;;;;;;;;
67;T80;842;10;24;;;;842/10/24;;1;1;;;United Kingdom;;CHANNEL ISLANDS, ENGLAND;49,5;-2,5;73;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
69;T81;850;11;27;;;;850/11/27;;4;3;;7;JAPAN;;NW. HONSHU ISLAND;39;139,9;85;;;2;1;;;;;;;;;2;;;;;;3;;;;;;2;;;;
70;T82;855;6;;;;;;;-1;0;;;JAPAN;;NANKAIDO;;;85;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
71;T83;859;;;;;;;;2;1;;;TURKEY;;SAMANDAGI;36,08;36,25;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
72;T84;863;7;10;;;;863/7/10;;4;3;;7;JAPAN;;NW. HONSHU ISLAND;37,1;138;85;;;2;2;;;;;;;;;;;;;;;3;;;;;;3;;3;;
74;T85;869;7;13;;;;869/7/13;;4;1;;8,6;JAPAN;;SANRIKU;38,5;143,8;85;;;4;4;;1000;3;;;;;;3;;;;;;4;;;;;;4;;3;;
