ID;DATE;COUNTRY
T952;1861/12/26;GREECE
T953;1862/1/1;GREECE
T954;1862/1/28;United States
T955;1862/3/4;PHILIPPINES
T956;1862/3/18;FRANCE
T957;1862/4/8;INDONESIA
T958;1862/5/27;United States
T959;1862/7/10;GHANA
T960;1862/11/24;ITALY
T961;1863/3/16;INDONESIA
T962;1863/3/22;GREECE
T963;1863/6/3;PHILIPPINES
T964;1863/8/17;VANUATU
T965;1863/9/20;JAPAN
T967;1864/2/16;INDONESIA
T968;1864/5/19;HAITI
T969;1864/5/23;INDONESIA
T970;1864/6/27;CANADA
T971;1865/1/8;PERU
T972;1865/3/1;JAPAN
T973;1865/3/1;PERU
T974;1865/7/16;United States
T975;1865/10/4;United States
T976;1865/10/8;United States
T977;1865/10/13;PHILIPPINES
T978;1865/10/19;PHILIPPINES
T979;1865/11/18;TONGA
T980;1865/11/28;PERU
T981;1866/1/2;ALBANIA
T982;1866/1/6;ALBANIA
T983;1866/1/19;GREECE
T984;1866/1/31;GREECE
T985;1866/2/2;GREECE
T986;1866/2/6;GREECE
T987;1866/3/2;ALBANIA
T988;1866/3/6;GREECE
T989;1866/3/13;ALBANIA
T990;1866/8/9;AUSTRALIA
T991;1866/8/15;AUSTRALIA
T992;1866/9/5;United States
T993;1866/9/12;United States
T995;1866/12/20;United States
T996;1867/2/4;GREECE
T997;1867/3/15;ITALY
T998;1867/4/10;GREECE
T999;1867/5/7;NORWAY
T1000;1867/8/5;AUSTRALIA
T1001;1867/9/20;GREECE
T1003;1867/10/4;GREECE
T1004;1867/11/18;United States
T1005;1867/11/19;GREECE
T1006;1867/12/18;EAST CHINA SEA
T1007;1868/3/17;United States
T1008;1868/4/3;United States
T1009;1868/4/4;United States
T1010;1868/4/10;United States
T1011;1868/4/20;United States
T1012;1868/4/23;United Kingdom
T1013;1868/5/15;United States
T1014;1868/5/22;ITALY
T1015;1868/5/25;MEXICO
T1016;1868/6/13;United States
T1017;1868/8/11;PERU
T1018;1868/8/12;MEXICO
T1019;1868/8/13;CHILE
T1020;1868/8/13;VENEZUELA
T1021;1868/8/14;CHILE
T1022;1868/8/19;INDIA
T1023;1868/9/5;ITALY
T1024;1868/9/14;CHILE
T1025;1868/10/2;United States
T1026;1868/10/2;PERU
T1027;1868/10/16;CHILE
T1028;1868/10/18;NEW ZEALAND
T1029;1868/10/21;United States
T1030;1869/1/4;NEW ZEALAND
T1031;1869/1/27;CHILE
T1032;1869/2/6;CHILE
T1033;1869/2/10;United States
T1034;1869/2/13;United States
T1035;1869/3/2;NEW ZEALAND
T1036;1869/3/31;NEW ZEALAND
T1037;1869/4/22;PERU
T1038;1869/6/1;United States
T1039;1869/6/25;CHILE
T1040;1869/7/24;United States
T1041;1869/8/9;CHILE
T1042;1869/8/11;AUSTRALIA
T1043;1869/8/16;PHILIPPINES
T1044;1869/8/19;PERU
T1045;1869/8/21;CHILE
T1046;1869/8/24;CHILE
T1047;1869/9/9;GREECE
T1048;1869/10/11;UKRAINE
T1049;1869/12/28;GREECE
T1050;1870/4/6;NEW ZEALAND
